precaution,limit_high,name,limit_low,functionals
,336,계피추출분말,336,혈당 조절
임산부와 수유기 여성은 섭취를 피할 것,1.8,곤약감자추출물,1.2,피부 보습
임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다,1.81,곤약감자추출분말,1.19,피부 보습
"·임산부, 수유부 및 12세 이하 어린이는 섭취 시 주의 ·요오드 함량이 높은 식품(해조류, 어패류 등)과 병용 섭취 시 주의 ·갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의",420.01,곰피추출물,419.99,간 건강
"위장장애가 발생할 수 있음 영·유아, 임산부는 섭취를 삼가야 함 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임",4.2,공액리놀레산,1.4,체지방 감소
,1000000000000.00 ,과채유래유산균(L.plantarum CJLP133),10000000000 ,피부상태 개선
"영유아 및 임산부, 수유부는 의사와 상담 후 섭취",1425.01,구기자추출물,1424.99,기억력 개선
,7,구리,0.24,"철의 운반과 이용에 필요, 유해산소로부터 세포를 보호"
반드시 충분한 물과 함께 섭취할 것 (액상제외),27,구아검/구아검가수분해물,4.6,"혈중 콜레스테롤 개선, 혈당상승 억제, 장내 유익균 증식 및 유해균 억제, 배변활동"
,120.01,구아바잎추출물,119.99,혈당상승 억제
,800.1,구아바잎추출물 등 복합물,799.9,코 상태 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),999999999,귀리식이섬유,800,"혈중 콜레스테롤 개선, 혈당상승 억제"
,3,그린마테추출물,3,체지방 감소
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",500,그린커피빈주정추출물,500,체지방 감소
"·임산부와 수유기 여성, 유아, 어린이는 섭취에 주의 ·카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",400,그린커피빈추출물,400,체지방 감소
"·영유아, 어린이, 임산부와 수유부는 섭취 시 주의 ·높은 혈당 및 당뇨환자는 섭취 시 주의",1000,글로빈 가수분해물,999.99,혈중 중성지질 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),17,"글루코만난(곤약, 곤약만난)",2.7,"혈중 콜레스테롤 개선, 배변활동"
" 임산부 및 수유부는 섭취를 피할 것 (나) 간·심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것 (다) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우) (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1.5,글루코사민,1.5,관절 및 연골 건강
,3300.1,금사상황버섯,3299.9,면역력 증진
,200,까마귀쪽나무열매주정추출물,200,관절 및 연골 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의",2.7,깻잎추출물(PF501),2.7,체지방 감소
,670,나이아신,4.5,에너지 생성에 필요
대두에 알레르기를 나타내는 사람은 섭취에 주의 임산부 수유부 섭취에 주의 의약품(혈액항응고제) 복용 시 섭취에 주의 수술 전후 섭취에 주의,67,나토균배양분말,44,혈행개선
"알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.|임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.|과다 섭취 시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다.|항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다.|수술 전과 후에는 섭취를 피해야 합니다.",133,나토배양물,133,혈소판 응집억제를 통한 혈액흐름
반드시 충분한 물과 함께 섭취할 것 (액상제외),30,난소화성말토덱스트린,2.5,"혈당상승 억제, 혈중 중성지질 개선, 배변활동"
" 어린이, 임산부 및 수유부는 섭취를 피할 것 | 간질환이 있거나 의약품 복용 시 전문가와 상담할 것 (다) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음 (라) 식사 후 섭취할 것 (마) 카페인을 함유한 식품의 섭취에 주의할 것 (바) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1,녹차추출물,0.3,"항산화, 체지방 감소, 혈중 콜레스테롤 개선"
"임산부, 수유부 및 어린이, 기타 질병을 가지고 있는 사람은 섭취 전 의사와 상담을 하십시오? 수술 전후에는 섭취에 주의하시기 바랍니다.? 과량 섭취 시 위장 장애, 어지러움 등의 증상이 나타날 수 있습니다.? 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있습니다. 별도의 카페인 함유식품과의 병용섭취를 삼가하시기 바랍니다.",1680,녹차추출물/테아닌 복합물,1680,기억력 개선
#NAME?,2500,다래추출물,2000,면역력 증진
특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의,999999999,단백질,12000,"근육, 결합조직 등 신체조직의 구성성분, 효소, 호르몬, 항체의 구성에 필요, 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요, 체액, 산-염기의 균형 유지에 필요, 에너지, 포도당, 지질의 합성에 필요"
,8.4,달맞이꽃종자추출물,4,혈당상승 억제
"·임산부, 수유부는 섭취 시 의사와 상담 ·복용중인 의약품이 있는 분은 섭취 시 의사와 상담",40,닭가슴연골분말,40,관절 및 연골 건강
항응고제와 병용 시 주의,800,당귀등추출복합물,800,노인의 기억력 개선
"1) 어린이, 임산부 및 수유부는 섭취를 피할 것 2) 월경불순이나 출혈성 질환이 있는 여성의 경우 전문가와 상담할 것 3) 항응고제 복용시 전문가와 상담할 것 4) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 5) 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것",40,당귀혼합추출물,20,면역력 증진
대두단백에 알레르기를 나타내는 경우에는 섭취 주의,15.01,대두단백,14.99,혈중 콜레스테롤 개선
"알르레기성 비염, 천식, 우유 알레르기 반응을 나타내는 사람은 섭취에 주의|임산부, 수유기 여성 및 어린이는 섭취에 주의",700.1,대두배아추출물등복합물,699.9,체지방 감소
 반드시 충분한 물과 함께 섭취할 것 (액상제외) | 대두에 알레르기를 나타내는 사람은 섭취에 주의,60,대두식이섬유,10,"혈중 콜레스테롤 개선, 혈당상승 억제, 배변활동"
과량으로 섭취 시에는 설사를 유발할 수 있습니다.,3,대두올리고당,2,장내 유익균 증식 및 유해균 억제
"영유아, 어린이, 임산부와 수유부는 섭취에 주의 대두에 알레르기를 나타내는 사람은 섭취에 주의 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",27,대두이소플라본,24,뼈 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·에스트로겐 호르몬에 민감한 사람은 섭취에 주의 ·메스꺼움 등 소화계통의 불편함과 설사를 유발 할 수 있음 ·알레르기 체질이거나 특정질환이 있는 사람은 섭취 전 전문가와 상담할 것 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",190,대두추출물등 복합물,190,갱년기 여성의 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1960,댕댕이나무열매추출분말,1960,간 건강
"임산부, 수유부 섭취에 주의알레르기 체질이거나 특정질환이 있는 분은 의사와 상담 후 섭취",3,도라지추출물,3,"간 건강, 노인의 인지력 개선"
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",320,돈태반 발효추출물,320,피로개선
과량섭취시 위장장애(구토와 위장운동 증가)가 발생할 수 있음,450,돌외잎주정추출분말,450,체지방 감소
"·과량 섭취 시 위장장애(구토와 위장운동 증가)가 발생할 수 있음 ·아스피린, 혈액항응고제 복용 시 섭취에 주의",400,돌외잎추출물,400,긴장완화
#NAME?,2.7,동결건조누에분말,2.7,혈당 조절
"어린이, 임산부, 수유부는 섭취에 주의 | 섭취 시 가벼운 위불쾌감 유발 가능 | 혈당강하제, 항응고제, 항우울제와 병용시 섭취에 주의",3000,동충하초 발효 추출물,2100,지구력 증진
,2,동충하초주정추출물,1.5,면역력 증진
,1,들쭉열매추출물,0,눈 건강
섭취량 이상 섭취 시 설사를 일으킬 수 있습니다.,5,라피노스,3,"장내 유익균 증식 및 유해균 억제, 배변활동"
과량 섭취 시 위장관계 계통의 이상반응 및 전해질 이상 등이 나타날 수 있음,3000,락추로스 파우더,650,장내 유익균 증식 및 유해균 억제
우유 및 유제품에 대하여 알레르기 나타내는 사람은 섭취에 주의,300,락토페린(우유정제단백질),300,체지방 감소
알레르기 반응이 나타날 경우에는 섭취를 중단하시기 바랍니다.,1380,레몬 밤 추출물 혼합분말,1380,체지방 감소
대두나 난황에 알레르기를 나타내는 사람은 섭취에 주의,18,레시틴,1.2,혈중 콜레스테롤 개선
"?영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ?특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것?의약품(혈압강하제, 부정맥치료제, 고지혈증치료제, 항응고제 등)을 복용하시는 분은 섭취 전 의사와 상담",250,로즈마리자몽추출복합물,250,피부건강 유지
"(1) 알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함(2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함",5,로즈힙분말,4.99,관절 및 연골 건강
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 · 메스꺼움 등 소화계통의 불편함과 설사를 유발 할 수 있음 · 알레르기 체질이거나 특정질환이 있는 사람은 섭취 전 전문가와 상담할 것 · 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",4,루바브뿌리추출물,4,갱년기 여성의 건강
임산부는 섭취 전 의사와 상담이 필요합니다.|과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.,20,루테인/지아잔틴 복합 추출물,10,눈 건강
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음",24,루테인지아잔틴복합추출물,12,눈 건강
과다 섭취시 일시적으로 피부가 황색으로 변할 수 있습니다. 임산부는 섭취전 의사와 상담이 필요합니다.,20,루테인지아잔틴복합추출물20%,10,눈 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·우유, 유제품 및 기타 제품에 대해 알레르기가 있는 사람은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",124.35,리스펙타(Respecta®) 프로바이오틱스,124.35,질 내 건강
,250,마그네슘,94.5,"신경과 근육 기능 유지, 에너지 이용"
,1,마늘,0.6,혈중 콜레스테롤 개선
과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,20,마리골드꽃추출물,10,눈 건강
,20,마리골드추출물(루테인에스테르),18.5,눈 건강
,900,마주정추출물,899.99,혈당 조절
,3,마카젤라틴화분말,1.5,"운동능력 향상, 갱년기 남성의 건강, 정자 운동성 개선"
,3,마테열수추출물,0,체지방 감소
,3.5,망간,0.9,"뼈와 치아 형성, 에너지 이용 ,유해산소로부터 세포를 보호"
"임산부, 수유부 및 어린이는 섭취에 주의",1050,매스틱 검,1050,위 건강
,1.3,매실추출물,1,피로개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),12.01,목이버섯식이섬유,11.99,배변활동
,0.23,몰리브덴,0.0075,산화·환원 효소의 활성에 필요
·무화과에 알레르기를 나타내는 사람은 섭취에 주의 ·과다 섭취 시 일시적인 복부팽만감을 느낄 수 있음,300,무화과페이스트,300,배변활동
,1.5,뮤코다당?단백,1.2,관절 및 연골 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·의약품(항히스타민제 또는 중추신경계억제제)과 병용섭취 시 주의",1,미강주정추출물,1,수면의 질 개선
#NAME?,600,미역 등 복합추출물(잔티젠),600,체지방 감소
,750,민들레등추출복합물,750,피부 보습
,30,밀배유추출물,30,피부 보습
반드시 충분한 물과 함께 섭취할 것 (액상제외),36,밀식이섬유,6,"혈당상승 억제, 배변활동"
"과량 섭취 시 설사, 복부팽만 등을 유발할 수 있으므로 주의",20000.01,밀전분유래난소화성말토덱스트린,7999.99,장내 유익균 증식 및 유해균 억제
"알레르기 반응이 나타나는 경우에는 섭취 중단 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",130.01,밀크씨슬추출물,129.99,간 건강
,1.3,바나바잎 추출물,0.45,혈당상승 억제
"임산부, 수유여성 및 12세 이하 어린이는 섭취에 주의",1200.1,바이오게르마늄 효모,1199.9,면역력 증진
"신장, 심혈관계 질환이 있거나 간기능이 저하된 분은 의사와 상담 후 섭취하십시오. |임산부, 수유부는 의사와 상담 후 섭취하십시오.",5,발효생성아미노산 복합물,4.7,피로개선
(1) 임산부와 수유부는 섭취에 주의 (2) 공복에 섭취하거나 과다 섭취 시 속쓰림 등 위에 자극을 느낄 수 있음,22,발효식초석류복합물,22,체지방 감소
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 -소화불량, 속쓰림 등이 나타날 수 있음 -혈액응고방지제 또는 혈당강하제를 복용하는 분은 섭취에 주의",1,발효우슬등복합물,1,관절 및 연골 건강
#NAME?,3,발효울금,3,간 건강
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1,배초향 추출물(Agatri),1,"피부건강 유지, 피부 보습"
"임산부와 수유부는 섭취를 피할 것 | 의약품(항응고제, 항혈전제 등) 복용 시 전문가와 상담할 것 |알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 |이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",514,백수오 등 복합추출물,514,갱년기 여성의 건강
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",412,베타글루칸분말,412,면역력 증진
,7,베타카로틴,0.42,"어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요"
,8,보리베타글루칸추출물,3,혈중 콜레스테롤 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),25,보리식이섬유,20,배변활동
임산부 및 수유부는 섭취에 주의,1000,보스웰리아 추출물,1000,관절 및 연골 건강
"·카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음  ·임산부, 수유여성, 어린이, 질병치료 중인 환자는 섭취에 주의",1,보이차추출물,1,"체지방 감소, 혈중 콜레스테롤 개선"
,0,복분자추출물,0,항산화
,3150,복분자추출분말,3150,간 건강
" 어린이나 임산부, 수유부는 섭취를 주의해야 함 | 충분한 물과 함께 섭취해야 함 (다) 과다 섭취 시 미약한 설사, 구토, 배변량 증가, 배변빈도 증가, 복부 팽만, 두통 등의 부작용을 일으킬 수 있음",4,분말한천,1.6,배변활동
,500,브로콜리스프라우트분말,0,효소 활성화
,0.9,비오틴,0.009,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
#NAME?,100,비즈왁스알코올,50,항산화
,1000,비타민A,210,"어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요"
,100,비타민B1,0.36,탄수화물과 에너지 대사에 필요
,2,비타민B12,0.00072,정상적인 엽산 대사에 필요
,40,비타민B2,0.42,에너지 생성에 필요
,67,비타민B6,0.45,"단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
,1000,비타민C,30,"결합조직 형성과 기능유지, 철의 흡수, 유해산소로부터 세포 보호"
 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것 | 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,0.01,비타민D,0.003,"뼈와 치아 형성, 골다공증 발생 위험 감소"
,400,비타민E,3.3,유해산소로부터 세포 보호
,1,비타민K,0.021,"혈액응고, 뼈 건강"
,1.5,비파엽추출물,1.5,기억력 개선
,240,빌베리 추출물,160,눈 피로 개선
,6,상엽추출물,6,혈당상승 억제
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·의약품(항응고제)과 복용 시 섭취에 주의 ·특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",900,상황버섯등 추출복합물,900,혈행개선
,534.6,상황버섯추출물,287.1,면역력 증진
,4.5,서목태(쥐눈이콩)펩타이드,4.5,혈당 조절
"영·유아, 어린이, 임산부와 수유부는 섭취에 주의 / 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",1,석류농축분말,1,"피부 보습, 피부건강 유지"
"·어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다. ·에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.",13.3,석류농축액,13.3,갱년기 여성의 건강
임산부와 수유부는 섭취를 피하는 것이 좋습니다. | 항혈전제를 복용하시는 분은 의사와 상의하시기 바랍니다.|에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.,1.5,석류추출물,1.5,갱년기 여성의 건강
"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 / 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담",3,세리포리아 락세라타 균사체 배양물,2.99,혈당 조절
,0.135,셀레늄,0.0165,유해산소로부터 세포 보호
"임산부, 수유부 및 어린이는 섭취를 피해야 함|‘달맞이꽃종자유’에 과민증이 있는 사람을 섭취를 삼가야 함|과량 섭취 시 위장장애 등의 부작용이 있을 수 있음|기타 질병을 보유하고 있는 사람 및 수술 전후 환자는 섭취를 삼가야 하며 섭취 시 의사와  상담해야 함",1130.1,소나무껍질추출물 등 복합물,1129.9,피부건강 유지
,0,소엽추출물,0,면역력 증진
"기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 섭취에 주의",1350.01,솔잎증류농축액,1349.99,혈당 유지
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",600,수국잎열수추출물,300,"피부건강 유지, 피부 보습"
,10.01,스쿠알렌,9.99,항산화
"· 영?유아, 어린이, 임산부 및 수유부는 섭취에 주의· 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의· 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",150,스페인감초추출물,150,위 건강
,150,스피루리나,8,"피부건강 유지, 항산화, 혈중 콜레스테롤 개선"
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·의약품(혈당강하제) 복용 시 섭취에 주의",300,시서스추출물,299.99,체지방 감소
,99999,식물성유지 디글리세라이드,0,"혈중 중성지방 감소, 체지방 감소"
식물스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다,3.4,식물스타놀에스테르,2.5,혈중 콜레스테롤 개선
베타-카로틴(β-carotene)의 흡수를 저해할 수 있음,3,식물스테롤/식물스테롤에스테르,0.8,혈중 콜레스테롤 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),999999999,식이섬유,5000,식이섬유 보충
|임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,34,쌀겨추출물,10,피부 보습
" 성인남성만 섭취할 것 | 수술 전후, 출혈성 질환이 있거나 항응고제 등 복용 시 전문가와 상담할 것 (다) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (라) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취할 것 (마) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",115,쏘팔메토 열매 추출물,70,전립선 건강
"|메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음|어린이, 임산부, 수유기 여성은 섭취에 주의할 것",320.1,쏘팔메토열매추출물,319.9,전립선 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·국화과에 알레르기를 나타내는 사람은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",2,쑥부쟁이추출분말,2,코 상태 개선
"요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 특정질화, 특이체질, 알러지체질, 임산부 와 12세이하의 어린이는 섭취시 주위",360,씨폴리놀 감태주정추출물,72,혈중 콜레스테롤 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),20.01,아라비아검(아카시아검),19.99,배변활동
1. 혈액응고와 관련된 질병이 있거나 혈액응고저해제를 섭취하는 경우는 반드시 의사나 약사와 상담 후에 섭취하여야 합니다.2. 아마인의 섭취는 다른 약물의 흡수를 방해할 수 있으므로 약제를 섭취하는 경우에는 의사나 약사와 상담 후 섭취하여야 합니다.,50,아마인,50,혈중 콜레스테롤 개선
"임산부, 수유부, 어린이는 섭취에 주의",180,아쉬아간다 추출물,125,긴장완화
,12,아연,2.55,"정상적인 면역기능에 필요, 정상적인 세포분열에 필요"
